Campaign_ID,Campaign_Channel,Target_Segment,Ad_Spend,Impressions,Clicks,Conversion_Rate,Average_Order_Value,Campaign_Duration_Days,Email_Open_Rate,Monthly_Revenue_Generated
CMP0027,Search,Small Business,88212.41,248305,12419,3.73,5272.76,32,23.11,1259400.75
CMP0028,Email,Price Sensitive,315327.97,556765,20287,5.65,1880.16,29,42.73,1458152.79
CMP0029,Social Media,High Value,239225.98,772884,19354,5.54,5633.0,83,40.05,1631369.6
CMP0030,Display,New Customers,376178.67,1923278,6347,0.79,3034.06,70,15.12,1094593.29
CMP0031,Display,New Customers,132633.23,429967,1881,2.29,1737.26,47,33.25,830641.77
CMP0032,Social Media,New Customers,27090.7,93506,1508,2.46,3697.15,48,21.97,654423.96
CMP0033,Social Media,High Value,201302.64,557206,11105,3.77,7694.26,29,33.57,1110039.88
CMP0034,Social Media,Price Sensitive,139322.87,546965,8486,2.24,1791.65,72,25.84,1327512.46
CMP0035,Social Media,Small Business,260704.43,1010612,17128,2.2,4749.06,86,35.56,1446685.59
CMP0036,Email,Existing Customers,209507.02,320226,24286,9.02,4137.07,86,58.59,2036900.28
CMP0037,Social Media,Small Business,213916.79,1069614,15985,6.37,4474.7,34,41.92,1534792.3
CMP0038,Social Media,Existing Customers,72513.54,258232,4243,2.25,3562.68,66,34.04,1382544.1
CMP0039,Affiliate,Existing Customers,191476.14,343097,10701,4.51,4040.86,33,36.49,1697087.49
CMP0040,Search,High Value,395574.85,794045,30913,7.34,10000.0,27,29.7,2234025.32
CMP0041,Social Media,Small Business,242829.28,964675,15574,3.12,3821.89,87,36.28,1538576.62
CMP0042,Search,Small Business,138986.36,253770,6019,6.5,7299.78,39,38.2,1435361.04
CMP0043,Search,New Customers,196720.56,499802,13102,4.86,2025.76,56,21.09,1275685.49
CMP0044,Email,New Customers,275187.05,424842,14777,6.26,3988.92,86,34.43,1133921.59
CMP0045,Affiliate,Small Business,309837.98,476829,8187,4.97,6076.23,16,36.05,1151105.57
CMP0046,Affiliate,New Customers,392734.78,769248,15506,4.69,4174.54,64,27.49,1396646.97
CMP0047,Search,Small Business,388263.81,847935,29180,4.73,4814.0,14,28.28,1339607.13
CMP0048,Social Media,Price Sensitive,172983.81,599389,10441,4.49,2124.94,30,29.16,1118783.41
CMP0049,Social Media,Existing Customers,407760.34,1054096,17770,4.67,2646.4,83,26.9,1652146.38
CMP0050,Social Media,Price Sensitive,407397.43,1592063,25961,1.82,1729.8,44,30.49,1476510.79
CMP0051,Affiliate,Small Business,158042.88,338739,8432,4.25,3508.08,22,30.01,997455.42
CMP0052,Display,Price Sensitive,310759.59,986832,7912,0.5,2550.84,59,25.72,1216915.1
CMP0053,Display,Price Sensitive,309181.48,1234770,7122,1.11,1891.15,23,21.26,1189028.17
CMP0054,Social Media,New Customers,251380.93,1170097,15505,3.35,3223.16,83,19.25,1231371.96
CMP0055,Social Media,Small Business,252207.65,852029,11937,2.6,7450.63,81,26.82,1580469.19
CMP0056,Affiliate,Price Sensitive,152219.36,505076,15384,3.51,1542.98,21,20.63,1436938.94
CMP0057,Social Media,New Customers,212131.15,770299,17085,3.51,3407.26,48,23.26,1285915.03
CMP0058,Social Media,Small Business,272140.54,1301488,26983,2.98,5559.23,34,24.82,2047170.2
CMP0059,Email,Existing Customers,258319.9,319906,12334,6.38,3329.56,35,50.12,1755552.58
CMP0060,Social Media,Price Sensitive,272451.92,1469860,38830,3.03,1366.69,86,26.44,1583892.21
CMP0061,Email,Existing Customers,217707.79,265637,20051,6.78,4193.19,52,44.55,1443656.38
CMP0062,Search,Price Sensitive,378613.28,1189776,46771,5.26,1951.35,45,34.05,1714774.38
CMP0063,Affiliate,Existing Customers,377394.59,732283,26994,4.8,3631.28,25,41.39,1791243.02
CMP0064,Email,Small Business,290921.44,378592,13642,8.57,5294.0,26,40.43,1479191.17
CMP0065,Affiliate,High Value,98467.71,211841,5063,7.92,6865.86,84,42.0,1812805.47
CMP0066,Social Media,Price Sensitive,399081.14,1127127,18622,3.67,2089.37,72,17.33,1162454.25
CMP0067,Display,Existing Customers,329257.76,1255412,15109,0.62,3962.34,85,26.19,1159888.57
CMP0068,Display,New Customers,342616.29,992727,3915,1.76,3079.75,11,8.84,1029538.44
CMP0069,Email,New Customers,183399.49,279998,14962,7.23,3010.25,60,36.55,1573477.03
CMP0070,Search,Price Sensitive,63025.24,131892,5551,2.59,2059.05,27,34.07,935274.9
CMP0071,Affiliate,High Value,232551.89,540820,16891,6.78,7820.71,85,46.41,2059404.0
CMP0072,Social Media,New Customers,361588.73,966303,23004,0.5,2896.38,72,14.46,1529119.28
CMP0073,Social Media,Existing Customers,142046.48,568669,10809,3.51,2931.9,43,33.65,1074724.32
CMP0074,Search,Price Sensitive,141255.88,378721,8723,5.13,1273.42,28,28.7,923578.07
CMP0075,Social Media,Price Sensitive,398173.85,1828941,27921,0.5,1456.94,71,25.99,1214272.29
CMP0076,Search,New Customers,160637.92,420373,11848,5.92,1869.58,74,20.63,1220294.29
CMP0077,Search,New Customers,64978.61,141024,5733,7.46,2563.17,21,27.57,893108.84
CMP0078,Search,Existing Customers,134233.4,330551,11495,7.18,4579.6,10,28.28,1243808.74
CMP0079,Display,New Customers,217097.9,860520,4286,2.04,3590.68,74,15.09,1182896.7
CMP0080,Social Media,Existing Customers,139218.92,361761,9374,4.87,3933.12,8,32.22,971893.41
CMP0081,Affiliate,Existing Customers,270189.88,509395,30991,6.83,3669.32,70,30.5,1784222.83
CMP0082,Email,Price Sensitive,433509.89,1059439,38155,6.63,1615.73,61,53.63,2292869.82
CMP0083,Affiliate,Small Business,273642.33,616017,16756,5.32,6008.91,40,36.24,1947047.54
CMP0084,Search,Small Business,99774.19,276702,11816,4.82,7883.31,86,26.04,1706782.76
CMP0085,Social Media,Existing Customers,424647.38,1244632,31541,2.92,4130.51,57,28.54,1583278.1
CMP0086,Display,New Customers,286892.41,1189296,5684,0.5,2651.39,43,24.31,1217940.46
CMP0087,Affiliate,Small Business,215074.55,312985,7159,4.65,7601.75,18,28.24,1812901.51
CMP0088,Social Media,Price Sensitive,253216.3,987725,18888,1.93,2542.49,22,27.79,1510319.77
CMP0089,Email,High Value,199706.98,330384,13274,8.55,10000.0,40,51.15,2057320.31
CMP0090,Email,New Customers,227328.9,406139,22688,3.36,3453.16,88,42.68,1234676.19
CMP0091,Affiliate,Price Sensitive,395746.37,1085753,23580,3.08,873.61,42,25.2,1560949.95
CMP0092,Display,New Customers,157994.14,719234,3623,1.33,1961.42,90,17.86,912033.9
CMP0093,Email,New Customers,318236.23,657274,27639,5.46,3056.21,34,41.98,1199654.4
CMP0094,Social Media,Small Business,155039.55,598224,11235,2.88,5090.0,55,27.04,1414580.94
CMP0095,Email,New Customers,27977.73,49981,2330,5.21,2726.04,73,38.33,1178405.92
CMP0096,Social Media,Small Business,249651.36,872667,16374,0.9,7401.54,32,34.35,1229144.91
CMP0097,Display,Price Sensitive,146602.8,630610,3016,1.39,1397.65,72,20.82,803369.67
CMP0098,Email,New Customers,313376.65,691290,29888,4.38,2205.9,80,37.47,1543007.57
CMP0099,Display,Price Sensitive,254237.85,1314353,9228,0.5,908.1,72,22.58,917921.83
CMP0100,Affiliate,Existing Customers,200876.18,625941,16590,5.25,4884.4,63,36.01,1012636.36
CMP0101,Email,Existing Customers,429774.35,768225,30845,6.49,4106.4,75,51.18,1898320.65
CMP0102,Email,New Customers,267743.8,525858,20786,6.21,3229.65,47,35.71,1174119.84
CMP0103,Search,Price Sensitive,285869.12,1022503,32174,2.04,1952.31,62,25.72,1097311.1
CMP0104,Email,Existing Customers,167329.91,256983,11002,7.74,5434.95,46,55.66,1599794.27
CMP0105,Email,New Customers,294347.89,714650,32241,7.91,3922.37,39,37.68,1627208.6
CMP0106,Email,Price Sensitive,213830.5,493119,28542,4.99,2171.25,82,35.94,1398022.13
CMP0107,Search,Price Sensitive,261684.42,923919,21839,2.54,1897.97,60,27.94,1213048.73
CMP0108,Social Media,Existing Customers,85789.0,194348,3582,4.68,1961.96,17,37.75,1070815.79
CMP0109,Email,High Value,229226.76,351004,15710,9.67,6918.09,32,50.7,1947478.65
CMP0110,Social Media,Existing Customers,401314.03,1408847,21599,4.63,3292.52,69,34.04,1713783.63
CMP0111,Search,Existing Customers,405343.89,688935,20076,6.5,4145.12,26,35.52,1826182.96
CMP0112,Search,Existing Customers,359037.37,787071,20621,6.27,3761.01,55,27.6,1507013.07
CMP0113,Search,New Customers,105618.72,354573,11403,6.81,3164.18,32,20.16,1108609.17
CMP0114,Social Media,High Value,339405.01,783337,12175,4.83,10000.0,37,39.69,1894500.06
CMP0115,Search,Small Business,208141.86,562721,13793,6.72,5904.21,69,32.85,1482107.94
CMP0116,Search,High Value,296574.38,885176,25479,8.41,7035.79,78,48.24,1778466.91
CMP0117,Display,New Customers,340426.34,1401911,5670,1.66,2784.56,42,26.24,1001454.31
CMP0118,Display,Price Sensitive,143099.99,315942,2939,2.55,850.03,16,22.94,358017.15
CMP0119,Email,Existing Customers,146126.77,210655,10710,7.71,4594.85,29,40.72,1702542.0
CMP0120,Email,Existing Customers,307032.37,374309,13560,8.9,3799.65,28,54.96,1473832.42
CMP0121,Display,Price Sensitive,274210.33,1058294,7930,0.76,1670.59,84,15.25,729903.65
CMP0122,Display,Existing Customers,371944.24,1420245,23173,2.59,3218.2,53,35.52,1215863.89
CMP0123,Search,Existing Customers,350664.96,825825,24336,6.36,6393.49,68,39.68,2191365.07
CMP0124,Display,High Value,248761.46,619398,6292,3.56,6895.48,15,36.43,1691999.99
CMP0125,Affiliate,New Customers,63667.49,126878,2822,4.08,2643.87,54,22.65,956775.35
CMP0126,Display,High Value,175641.82,679270,5723,5.15,4095.9,75,35.05,1570367.56
CMP0127,Display,High Value,156758.98,353690,4280,6.12,7388.24,25,26.87,1488293.35
CMP0128,Social Media,Existing Customers,436504.84,1333136,28214,4.85,5086.63,41,39.95,1361794.37
CMP0129,Affiliate,Small Business,286483.99,652636,15516,5.15,4411.15,19,46.43,1912299.89
CMP0130,Email,Price Sensitive,147573.37,203993,8839,7.13,1969.44,15,31.94,927569.45
CMP0131,Email,High Value,33576.25,54262,3046,10.08,7541.18,57,61.34,1540028.28
CMP0132,Search,Existing Customers,194073.15,411040,19892,6.11,2883.05,56,31.66,1861725.78
CMP0133,Display,Price Sensitive,40186.58,219428,1857,1.18,1573.96,70,18.68,746159.77
CMP0134,Display,Price Sensitive,232515.64,1020608,7081,1.22,2305.92,29,31.96,1033466.85
CMP0135,Affiliate,New Customers,211985.44,448878,12027,4.34,3265.76,78,20.19,1347355.68
CMP0136,Display,High Value,168060.9,615628,7516,3.09,6389.29,80,34.64,1449983.11
CMP0137,Display,New Customers,223772.26,562327,2596,2.46,2386.83,15,21.69,825504.28
CMP0138,Affiliate,High Value,35032.69,52985,1691,5.16,10000.0,29,44.25,1714568.84
CMP0139,Social Media,Existing Customers,169006.8,574993,14197,3.9,3602.95,61,33.93,1349206.78
CMP0140,Display,Existing Customers,123057.37,435617,3163,2.99,4464.54,24,33.24,1078751.79
CMP0141,Search,Existing Customers,402642.33,637314,18376,7.76,4157.32,19,35.16,1226221.24
CMP0142,Affiliate,Existing Customers,392449.3,847643,26182,5.87,3884.2,17,40.31,1691127.18
CMP0143,Email,Price Sensitive,226397.88,440252,16343,3.95,1533.48,35,32.16,1005537.35
CMP0144,Social Media,Existing Customers,407525.11,1163054,31673,2.43,3318.65,44,37.03,1519695.8
CMP0145,Search,Existing Customers,208672.76,335328,15994,6.46,4527.17,12,45.73,1526480.6
CMP0146,Display,Small Business,378804.9,1464673,10066,1.45,5182.83,32,24.38,1566527.0
CMP0147,Social Media,New Customers,431973.58,1322995,16806,3.59,3329.99,86,23.11,1567116.05
CMP0148,Email,Price Sensitive,231272.55,530685,19900,4.63,1309.47,69,46.42,1339021.64
CMP0149,Search,Small Business,307369.89,848853,23049,6.85,10000.0,79,29.2,1896008.89
CMP0150,Affiliate,Small Business,386632.94,841160,20609,2.38,4682.13,70,36.97,1548932.98
CMP0151,Affiliate,New Customers,235698.36,392679,8843,5.55,2598.98,50,24.46,1038190.66
CMP0152,Email,New Customers,18861.56,22973,1298,5.28,5834.02,43,40.17,1326984.69
CMP0153,Search,New Customers,26037.04,84818,2784,4.52,3827.38,47,17.44,1048838.48
CMP0154,Social Media,New Customers,157630.1,414612,7438,2.79,3244.45,34,21.76,1041802.01
CMP0155,Display,Small Business,189079.54,608620,3493,1.16,5460.2,11,11.12,948094.22
CMP0156,Affiliate,Existing Customers,195085.78,332757,10814,4.62,2924.96,19,30.05,1243390.79
CMP0157,Display,Small Business,41598.6,125017,509,2.09,3136.74,30,33.19,773599.12
CMP0158,Affiliate,Existing Customers,281975.07,358575,10484,6.61,3254.26,13,36.26,1211206.0
CMP0159,Email,New Customers,299113.6,588690,25134,7.28,2738.27,28,33.52,1152133.41
CMP0160,Social Media,Price Sensitive,184567.45,761736,12435,1.96,1886.41,55,23.85,961088.34
CMP0161,Search,Existing Customers,112387.42,343597,10480,7.75,3560.24,80,36.53,1080831.52
CMP0162,Affiliate,Existing Customers,218780.66,351640,11997,4.42,3102.32,9,51.74,1345930.54
CMP0163,Email,Price Sensitive,341915.22,685013,23110,6.01,1777.75,11,44.1,1346781.61
CMP0164,Search,New Customers,445398.84,1045079,46750,6.18,3202.79,62,20.27,1955722.74
CMP0165,Email,New Customers,313694.15,446715,14549,4.63,2997.8,84,34.32,1659119.39
CMP0166,Search,Price Sensitive,275921.35,753220,15605,5.26,2786.76,20,27.11,1166313.63
CMP0167,Display,Small Business,262810.01,915767,4867,3.21,4684.05,28,19.67,1070792.19
CMP0168,Social Media,Existing Customers,278834.59,801055,17766,5.05,4667.38,55,31.53,1250417.99
CMP0169,Search,New Customers,116229.77,451348,13142,2.81,2929.57,84,18.36,1330660.8
CMP0170,Search,High Value,84901.54,126862,8967,7.61,6688.46,19,41.36,1708402.74
CMP0171,Social Media,Price Sensitive,429217.1,1384279,31517,2.71,1915.42,49,35.65,1425663.41
CMP0172,Email,New Customers,310395.74,615276,24170,5.72,3711.79,32,33.82,1361315.37
CMP0173,Search,Price Sensitive,440929.75,1336082,8618,1.26,1995.05,82,22.54,1485259.65
CMP0174,Search,Price Sensitive,277972.04,719222,23935,5.13,2575.69,58,33.2,1498998.83
CMP0175,Search,Price Sensitive,356740.61,708819,17688,3.37,1928.79,33,32.59,1289313.9
CMP0176,Email,Existing Customers,310391.38,414915,20966,2.57,3126.72,35,56.0,1492316.76
CMP0177,Email,New Customers,237264.03,442984,16625,6.68,3656.78,76,41.6,1593574.4
CMP0178,Email,Small Business,85152.04,172872,9645,7.7,7479.46,88,44.34,1677890.04
CMP0179,Affiliate,Price Sensitive,54236.53,193187,5589,4.14,1431.22,84,28.83,1055226.87
CMP0180,Affiliate,New Customers,389388.29,683844,24669,3.36,2028.33,32,29.15,1689838.89
CMP0181,Search,New Customers,165367.12,626367,14480,5.89,2980.29,73,30.4,1515066.73
CMP0182,Search,Existing Customers,207226.51,426107,19145,7.25,3326.93,64,35.44,1066515.59
CMP0183,Search,Price Sensitive,276971.54,890455,26273,2.91,1439.4,53,31.86,1891344.29
CMP0184,Search,New Customers,329430.9,945106,29863,6.94,3351.2,37,16.36,1604427.6
CMP0185,Social Media,Small Business,331515.1,1178699,27559,4.2,2857.26,63,33.52,1373351.16
CMP0186,Social Media,New Customers,280940.78,985315,16933,3.6,2764.25,86,18.21,1595405.64
CMP0187,Social Media,High Value,184639.01,636920,15402,6.24,5119.12,39,35.34,1796498.06
CMP0188,Email,Price Sensitive,229294.03,449809,28055,3.61,1890.34,28,43.79,1220507.13
CMP0189,Email,Existing Customers,176917.49,280062,20325,8.31,5258.08,22,47.8,1869000.3
CMP0190,Social Media,Price Sensitive,119534.69,380127,9317,1.98,944.66,19,24.28,499553.26
CMP0191,Affiliate,High Value,303693.93,603248,16625,7.42,6296.31,88,32.92,1968017.89
CMP0192,Social Media,New Customers,282583.49,1262810,18274,2.38,1723.92,70,19.83,1313039.17
CMP0193,Display,Small Business,168287.94,593859,3692,1.07,5252.75,47,25.18,1273525.99
CMP0194,Display,Existing Customers,59664.5,247317,2617,2.6,3435.88,55,33.68,961313.14
CMP0195,Affiliate,New Customers,389969.91,942039,27864,4.24,2887.67,47,22.69,1098329.98
CMP0196,Social Media,Existing Customers,393367.16,1141325,21542,4.02,4186.82,46,33.62,1495047.2
CMP0197,Search,New Customers,135841.92,496077,13735,5.47,1813.18,82,31.26,1165879.94
CMP0198,Social Media,New Customers,85846.89,282965,3224,3.72,2567.33,70,13.4,792521.97
CMP0199,Affiliate,Price Sensitive,308233.68,589094,19447,1.95,1716.53,16,34.14,945780.29
CMP0200,Search,High Value,207491.83,465000,19549,7.8,7117.45,31,37.33,1641657.1
CMP0201,Display,Small Business,156337.55,487086,2350,1.94,4629.22,27,21.69,931650.34
CMP0202,Affiliate,Price Sensitive,403742.66,1232419,20078,4.47,1686.58,61,31.79,1244607.42
CMP0203,Display,High Value,217261.87,558137,4904,4.71,5094.79,60,34.56,1393869.33
CMP0204,Affiliate,New Customers,255783.16,465834,12711,3.42,3110.96,24,27.98,1134918.75
CMP0205,Display,New Customers,227146.41,710429,2578,1.18,1460.85,80,18.87,1110688.9
CMP0206,Social Media,Small Business,375811.43,1131752,17925,4.71,5974.59,38,34.5,1795654.09
CMP0207,Search,New Customers,331908.53,1000773,27209,5.25,2380.99,25,13.48,1579964.04
CMP0208,Email,New Customers,288207.24,727046,33484,6.93,2855.3,66,41.03,1286012.59
CMP0209,Social Media,New Customers,123005.64,541081,11713,2.77,2110.86,77,19.23,1156443.64
CMP0210,Search,Existing Customers,70715.37,135890,3376,6.93,3545.32,26,45.56,1345631.1
CMP0211,Social Media,Existing Customers,215224.3,900105,21963,6.3,2649.18,79,42.9,1694476.05
CMP0212,Social Media,Price Sensitive,239832.52,978093,16915,0.78,1633.81,47,21.13,793543.92
CMP0213,Display,High Value,269044.48,921617,6909,1.12,5652.7,25,35.76,1368855.4
CMP0214,Display,New Customers,126540.36,320515,1920,3.26,2087.14,21,24.61,577085.45
CMP0215,Social Media,New Customers,119767.43,329033,5327,3.45,2447.37,20,20.88,882747.24
CMP0216,Display,Price Sensitive,212503.69,804103,6968,0.7,1306.02,87,20.92,691913.08
CMP0217,Affiliate,Small Business,305109.83,373507,8576,5.84,7026.78,17,36.59,1612730.1
CMP0218,Social Media,Price Sensitive,108129.09,443737,7580,0.5,801.04,22,29.14,668802.01
CMP0219,Email,Small Business,131705.32,182937,10174,6.11,4668.51,88,47.03,1608249.58
CMP0220,Email,Existing Customers,377517.98,689905,31976,8.71,4134.47,42,42.47,2287741.46
CMP0221,Search,Existing Customers,113519.05,247955,12773,7.72,3521.36,63,41.87,1429557.12
CMP0222,Affiliate,High Value,265680.52,361259,11113,6.81,7707.09,10,45.67,1644001.35
CMP0223,Email,New Customers,77595.4,133602,3868,4.88,4500.78,70,39.71,1146321.31
CMP0224,Social Media,Existing Customers,247197.6,738367,17965,5.43,2588.14,45,29.69,1669471.38
CMP0225,Email,Price Sensitive,415635.16,947984,42716,4.48,2272.88,34,42.07,1989232.04
CMP0226,Email,Small Business,215005.05,327599,24879,6.82,5429.54,59,59.15,1968143.4
CMP0227,Email,Price Sensitive,59192.57,143416,6686,5.67,2058.09,75,35.23,692357.88
CMP0228,Email,High Value,355902.3,504281,20069,7.59,6511.41,70,59.19,1988845.65
CMP0229,Social Media,Price Sensitive,260936.6,1096669,24530,1.76,1651.64,55,38.13,960645.96
CMP0230,Social Media,New Customers,273945.58,1387581,22451,3.35,2583.02,75,19.54,845303.69
CMP0231,Affiliate,Price Sensitive,266430.06,481721,19964,4.4,2631.55,22,34.77,1281339.36
CMP0232,Social Media,New Customers,207385.34,868838,15890,3.06,2566.91,33,19.34,951080.05
CMP0233,Social Media,Price Sensitive,188880.03,806023,8506,2.43,1708.35,43,36.85,997286.48
CMP0234,Social Media,High Value,268496.35,787525,10840,4.3,10000.0,57,36.31,1697768.23
CMP0235,Search,New Customers,232377.6,612716,17879,5.01,1973.35,45,22.95,1535503.28
CMP0236,Display,Existing Customers,233953.96,738410,8687,4.51,3031.12,26,26.7,1350698.48
CMP0237,Affiliate,New Customers,132145.91,191249,7182,4.17,3741.48,16,32.37,1049946.11
CMP0238,Affiliate,Existing Customers,253824.56,588092,12040,5.57,3869.84,69,44.72,1387073.91
CMP0239,Social Media,Small Business,333376.5,1179147,26559,3.47,6428.49,67,21.81,1774696.08
CMP0240,Display,New Customers,161513.54,707520,2560,2.38,3320.86,73,20.59,878105.62
CMP0241,Display,New Customers,159743.53,652478,2283,1.36,2524.55,65,23.77,1047348.74
CMP0242,Social Media,Price Sensitive,361555.75,1396732,30220,2.28,1456.8,39,23.88,1094932.58
CMP0243,Search,High Value,240724.85,421854,11030,7.65,9097.73,31,39.63,1896158.85
CMP0244,Affiliate,Small Business,315028.19,529350,15105,5.83,6179.85,28,38.4,1904960.36
CMP0245,Email,Existing Customers,127434.45,120576,5020,6.84,4895.03,14,47.55,1308774.53
CMP0246,Display,Price Sensitive,74574.62,196380,930,0.5,1259.29,71,16.47,924415.51
CMP0247,Email,Small Business,99335.82,135986,5294,5.79,8592.63,41,43.06,1519942.91
CMP0248,Email,Small Business,183188.36,299170,14522,7.47,4291.06,77,50.3,1647151.64
CMP0249,Search,Existing Customers,432053.97,1056395,24516,4.66,5487.12,53,35.69,1450881.03
CMP0250,Search,Existing Customers,328955.91,906853,45067,6.39,3492.48,89,32.14,1965263.3
CMP0251,Social Media,New Customers,358912.52,1298546,22072,3.76,2652.92,75,13.49,1454602.39
CMP0252,Display,New Customers,90814.85,286162,921,2.63,3196.68,75,12.69,696523.4
CMP0253,Social Media,Small Business,309742.39,1138968,24790,2.24,4906.21,82,41.72,1437925.46
CMP0254,Affiliate,Existing Customers,276622.49,499612,15818,4.3,2725.12,38,39.79,1363326.65
CMP0255,Display,Existing Customers,221111.51,616440,5058,2.14,3523.96,14,30.52,1093282.01
CMP0256,Search,High Value,261655.05,628518,16822,6.57,6255.71,11,45.77,1572886.76
CMP0257,Social Media,New Customers,223494.34,910834,12764,2.76,2168.62,19,25.67,1085361.55
CMP0258,Email,New Customers,205765.33,382487,19706,5.74,3143.99,79,37.59,1527749.42
CMP0259,Social Media,Existing Customers,419067.33,1299681,28820,5.79,3743.41,47,28.43,1742882.84
CMP0260,Email,New Customers,265979.66,599768,27578,6.7,2112.12,83,35.42,1620650.53
CMP0261,Search,New Customers,312250.92,1091118,23047,3.75,3212.77,57,24.96,1344821.1
CMP0262,Social Media,New Customers,104248.66,287366,7169,1.45,4263.92,26,9.01,504992.49
CMP0263,Email,New Customers,405619.24,577781,20354,5.84,2584.55,29,39.73,1712496.0
CMP0264,Affiliate,Small Business,394702.5,914604,20499,6.75,5141.7,17,32.39,1813791.15
CMP0265,Display,High Value,175544.14,567974,5832,5.66,10000.0,55,39.73,1805795.29
CMP0266,Social Media,Price Sensitive,271384.96,979471,20485,0.5,1845.27,86,24.86,1336047.76
CMP0267,Social Media,New Customers,223719.11,699341,8190,1.63,2803.0,25,17.79,1038592.84
CMP0268,Social Media,Existing Customers,405520.53,1540773,33776,3.21,4970.6,57,41.64,1698214.86
CMP0269,Search,Small Business,154369.37,459275,14618,7.46,6032.61,17,22.52,1637322.25
CMP0270,Display,Existing Customers,130434.88,416095,4611,2.04,3275.86,20,27.54,1027179.05
CMP0271,Search,High Value,129610.86,287747,10393,7.22,9456.46,56,41.4,2106335.28
CMP0272,Search,New Customers,165806.42,492210,14606,5.25,3056.7,46,14.5,1496090.37
CMP0273,Search,New Customers,402510.52,1196823,40705,4.81,2934.42,78,18.27,1908946.57
CMP0274,Social Media,New Customers,356342.74,1417381,27749,0.92,2951.25,59,19.31,1372952.8
CMP0275,Email,New Customers,429066.15,1244869,40895,6.22,2277.38,73,35.49,1780727.75
CMP0276,Search,Existing Customers,59215.52,244133,10752,4.76,3358.82,78,35.58,1332108.06
CMP0277,Social Media,Small Business,220677.91,701311,9668,2.95,6932.37,16,34.52,1313696.79
CMP0278,Social Media,High Value,167933.88,535043,6593,7.07,5526.53,84,41.01,1444991.17
CMP0279,Search,High Value,150785.46,367920,12961,8.11,9273.0,83,41.67,1987897.67
CMP0280,Social Media,Existing Customers,258162.03,756326,12483,5.39,5169.2,56,27.17,1317568.15
CMP0281,Display,High Value,179360.52,572784,5309,3.85,5578.59,62,27.69,1322868.15
CMP0282,Affiliate,High Value,444487.8,983021,20284,5.51,8563.21,46,46.9,2082900.71
CMP0283,Social Media,Existing Customers,382391.35,1351799,19556,2.94,2562.65,82,39.95,1354530.38
CMP0284,Email,Small Business,324836.75,308514,14653,5.59,6301.13,33,36.02,1703646.72
CMP0285,Social Media,Price Sensitive,342238.79,1515865,19681,3.56,1627.93,66,30.04,1214331.76
CMP0286,Display,New Customers,220372.93,636860,2377,0.96,2374.56,16,13.3,686436.86
CMP0287,Search,Price Sensitive,171562.84,459371,19079,4.24,1577.04,33,42.02,1560886.07
CMP0288,Affiliate,Existing Customers,89792.28,233621,6751,4.13,3210.78,73,28.12,842330.56
